gloss_id,korean_meanings,cat_1,cat_2,cat_3,original_vd_idx,source
100090,['고금리정책'],전문용어 수어,경제,,209-고금리정책,fi
100091,['고물가정책'],전문용어 수어,경제,,209-고물가정책,fi
100092,['고부가가치'],전문용어 수어,경제,,209-고부가가치,fi
100093,['고시가격'],전문용어 수어,경제,,209-고시가격,fi
100094,['고용구조'],전문용어 수어,경제,,209-고용구조,fi
100095,['고용수준'],전문용어 수어,경제,,209-고용수준,fi
100096,['고정부채'],전문용어 수어,경제,,209-고정부채,fi
100097,['고정비'],전문용어 수어,경제,,209-고정비,fi
100098,['고정자산'],전문용어 수어,경제,,209-고정자산,fi
100099,['공개입찰'],전문용어 수어,경제,,209-공개입찰,fi
100100,['공공경비'],전문용어 수어,경제,,209-공공경비,fi
100101,['공공기업'],전문용어 수어,경제,,209-공공기업,fi
100102,['공공기업체'],전문용어 수어,경제,,209-공공기업체,fi
100103,['공공투자'],전문용어 수어,경제,,209-공공투자,fi
100104,['공급'],전문용어 수어,경제,,209-공급,fi
100105,['공급가격'],전문용어 수어,경제,,209-공급가격,fi
100106,['공급과잉'],전문용어 수어,경제,,209-공급과잉,fi
100107,['공급량'],전문용어 수어,경제,,209-공급량,fi
100108,['공급초과'],전문용어 수어,경제,,209-공급초과,fi
100109,['공기업'],전문용어 수어,경제,,209-공기업,fi
100110,['공동경영'],전문용어 수어,경제,,209-공동경영,fi
100111,['공매'],전문용어 수어,경제,,209-공매,fi
100112,['공매2'],전문용어 수어,경제,,209-공매2,fi
100113,['공수표'],전문용어 수어,경제,,209-공수표,fi
100114,['공시지가'],전문용어 수어,경제,,209-공시지가,fi
100115,['공적자금'],전문용어 수어,경제,,209-공적자금,fi
100116,['공정가'],전문용어 수어,경제,,209-공정가,fi
100117,['공정가격'],전문용어 수어,경제,,209-공정가격,fi
100118,['공정가격2'],전문용어 수어,경제,,209-공정가격2,fi
100119,['공정거래'],전문용어 수어,경제,,209-공정거래,fi
100120,['공정금리'],전문용어 수어,경제,,209-공정금리,fi
100121,['공정시세'],전문용어 수어,경제,,209-공정시세,fi
100122,['공정임금'],전문용어 수어,경제,,209-공정임금,fi
100123,['공채'],전문용어 수어,경제,,209-공채,fi
100124,['공판장'],전문용어 수어,경제,,209-공판장,fi
100125,['공해산업'],전문용어 수어,경제,,209-공해산업,fi
100126,['공황'],전문용어 수어,경제,,209-공황,fi
100127,['과열'],전문용어 수어,경제,,209-과열,fi
100128,['과잉생산'],전문용어 수어,경제,,209-과잉생산,fi
100129,['과잉설비'],전문용어 수어,경제,,209-과잉설비,fi
100130,['과점'],전문용어 수어,경제,,209-과점,fi
100131,['관광사업'],전문용어 수어,경제,,209-관광사업,fi
100132,['관광산업'],전문용어 수어,경제,,209-관광산업,fi
100133,['관광업'],전문용어 수어,경제,,209-관광업,fi
100134,['관광자원'],전문용어 수어,경제,,209-관광자원,fi
100135,['관세정책'],전문용어 수어,경제,,209-관세정책,fi
100136,['관세협정'],전문용어 수어,경제,,209-관세협정,fi
100137,['교육보험'],전문용어 수어,경제,,209-교육보험,fi
100138,['교환'],전문용어 수어,경제,,209-교환,fi
100139,['교환액'],전문용어 수어,경제,,209-교환액,fi
100140,['구매동기'],전문용어 수어,경제,,209-구매동기,fi
100141,['구매력'],전문용어 수어,경제,,209-구매력,fi
100142,['구매욕'],전문용어 수어,경제,,209-구매욕,fi
100143,['구매자'],전문용어 수어,경제,,209-구매자,fi
100144,['구매자2'],전문용어 수어,경제,,209-구매자2,fi
100145,['구상무역'],전문용어 수어,경제,,209-구상무역,fi
100146,['구제금융'],전문용어 수어,경제,,209-구제금융,fi
100147,['구좌'],전문용어 수어,경제,,209-구좌,fi
100148,['국가신용'],전문용어 수어,경제,,209-국가신용,fi
100149,['국고'],전문용어 수어,경제,,209-국고,fi
100150,['국고보조'],전문용어 수어,경제,,209-국고보조,fi
100151,['국고보조금'],전문용어 수어,경제,,209-국고보조금,fi
100152,['국내시장'],전문용어 수어,경제,,209-국내시장,fi
100153,['국립은행'],전문용어 수어,경제,,209-국립은행,fi
100154,['국민경제'],전문용어 수어,경제,,209-국민경제,fi
100155,['국민소득'],전문용어 수어,경제,,209-국민소득,fi
100156,['국민총생산'],전문용어 수어,경제,,209-국민총생산,fi
100157,['국방비'],전문용어 수어,경제,,209-국방비,fi
100158,['국영기업'],전문용어 수어,경제,,209-국영기업,fi
100159,['국영기업체'],전문용어 수어,경제,,209-국영기업체,fi
100160,['국외시장'],전문용어 수어,경제,,209-국외시장,fi
100161,['국유재산'],전문용어 수어,경제,,209-국유재산,fi
100162,['국제가격'],전문용어 수어,경제,,209-국제가격,fi
100163,['국제경쟁력'],전문용어 수어,경제,,209-국제경쟁력,fi
100164,['국제경제'],전문용어 수어,경제,,209-국제경제,fi
100165,['국제금리'],전문용어 수어,경제,,209-국제금리,fi
100166,['국제금융'],전문용어 수어,경제,,209-국제금융,fi
100167,['국제기능올림픽대회'],전문용어 수어,경제,,209-국제기능올림픽대회,fi
100168,['국제무역'],전문용어 수어,경제,,209-국제무역,fi
100169,['국제무역기구'],전문용어 수어,경제,,209-국제무역기구,fi
100170,['국제박람회'],전문용어 수어,경제,,209-국제박람회,fi
100171,['국제수지'],전문용어 수어,경제,,209-국제수지,fi
100172,['국제시장'],전문용어 수어,경제,,209-국제시장,fi
100173,['국제입찰'],전문용어 수어,경제,,209-국제입찰,fi
100174,['국제통화'],전문용어 수어,경제,,209-국제통화,fi
100175,['국제통화기금'],전문용어 수어,경제,,209-국제통화기금,fi
100176,['국제통화위기'],전문용어 수어,경제,,209-국제통화위기,fi
100177,['국제통화제도'],전문용어 수어,경제,,209-국제통화제도,fi
100178,['국채'],전문용어 수어,경제,,209-국채,fi
100179,['국채2'],전문용어 수어,경제,,209-국채2,fi
100180,['국책은행'],전문용어 수어,경제,,209-국책은행,fi
100181,['근로소득'],전문용어 수어,경제,,209-근로소득,fi
100182,['금괴'],전문용어 수어,경제,,209-금괴,fi
100183,['금리'],전문용어 수어,경제,,209-금리,fi
100184,['금리2'],전문용어 수어,경제,,209-금리2,fi
100185,['금리자유화'],전문용어 수어,경제,,209-금리자유화,fi
100186,['금리정책'],전문용어 수어,경제,,209-금리정책,fi
100187,['금시장'],전문용어 수어,경제,,209-금시장,fi
100188,['금융'],전문용어 수어,경제,,209-금융,fi
100189,['금융감독원'],전문용어 수어,경제,,209-금융감독원,fi
100190,['금융거래'],전문용어 수어,경제,,209-금융거래,fi
100191,['금융기관'],전문용어 수어,경제,,209-금융기관,fi
100192,['금융긴축'],전문용어 수어,경제,,209-금융긴축,fi
100193,['금융시장'],전문용어 수어,경제,,209-금융시장,fi
100194,['금융실명제'],전문용어 수어,경제,,209-금융실명제,fi
100195,['금융정책'],전문용어 수어,경제,,209-금융정책,fi
100196,['금융채권'],전문용어 수어,경제,,209-금융채권,fi
100197,['금전등록기'],전문용어 수어,경제,,209-금전등록기,fi
100198,['금전출납부'],전문용어 수어,경제,,209-금전출납부,fi
100199,['금전출납장'],전문용어 수어,경제,,209-금전출납장,fi
100200,['급여소득'],전문용어 수어,경제,,209-급여소득,fi
100201,['급여체계'],전문용어 수어,경제,,209-급여체계,fi
100202,['기간산업'],전문용어 수어,경제,,209-기간산업,fi
100203,['기관투자'],전문용어 수어,경제,,209-기관투자,fi
100204,['기관투자가'],전문용어 수어,경제,,209-기관투자가,fi
100205,['기능올림픽'],전문용어 수어,경제,,209-기능올림픽,fi
100206,['기본재산'],전문용어 수어,경제,,209-기본재산,fi
100207,['기술도입'],전문용어 수어,경제,,209-기술도입,fi
100208,['기술수출'],전문용어 수어,경제,,209-기술수출,fi
100209,['기술원조'],전문용어 수어,경제,,209-기술원조,fi
100210,['기술이전'],전문용어 수어,경제,,209-기술이전,fi
100211,['기술제휴'],전문용어 수어,경제,,209-기술제휴,fi
100212,['기술혁명'],전문용어 수어,경제,,209-기술혁명,fi
100213,['기술혁신'],전문용어 수어,경제,,209-기술혁신,fi
100214,['기술협력'],전문용어 수어,경제,,209-기술협력,fi
100215,['기업'],전문용어 수어,경제,,209-기업,fi
100216,['기업가'],전문용어 수어,경제,,209-기업가,fi
100217,['기업공개'],전문용어 수어,경제,,209-기업공개,fi
100218,['기업그룹'],전문용어 수어,경제,,209-기업그룹,fi
100219,['기업금융'],전문용어 수어,경제,,209-기업금융,fi
100220,['기업윤리'],전문용어 수어,경제,,209-기업윤리,fi
100221,['기업의사회적책임'],전문용어 수어,경제,,209-기업의사회적책임,fi
100222,['기업자본'],전문용어 수어,경제,,209-기업자본,fi
100223,['기업진단'],전문용어 수어,경제,,209-기업진단,fi
100224,['기업집단'],전문용어 수어,경제,,209-기업집단,fi
100225,['기업집중'],전문용어 수어,경제,,209-기업집중,fi
100226,['기업책임'],전문용어 수어,경제,,209-기업책임,fi
100227,['기업합리화'],전문용어 수어,경제,,209-기업합리화,fi
100228,['기업합병'],전문용어 수어,경제,,209-기업합병,fi
100229,['기업형태'],전문용어 수어,경제,,209-기업형태,fi
100230,['기업회계'],전문용어 수어,경제,,209-기업회계,fi
100231,['기자재공급'],전문용어 수어,경제,,209-기자재공급,fi
100232,['기준지가'],전문용어 수어,경제,,209-기준지가,fi
100233,['기준환율'],전문용어 수어,경제,,209-기준환율,fi
100234,['기초공제'],전문용어 수어,경제,,209-기초공제,fi
100235,['기초산업'],전문용어 수어,경제,,209-기초산업,fi
100236,['기초수지'],전문용어 수어,경제,,209-기초수지,fi
100237,['긴축예산'],전문용어 수어,경제,,209-긴축예산,fi
100238,['긴축재정'],전문용어 수어,경제,,209-긴축재정,fi
100239,['나스닥1'],전문용어 수어,경제,,209-나스닥1,fi
100240,['나스닥2'],전문용어 수어,경제,,209-나스닥2,fi
100241,['낙찰'],전문용어 수어,경제,,209-낙찰,fi
100242,['낙찰가'],전문용어 수어,경제,,209-낙찰가,fi
100243,['남북격차'],전문용어 수어,경제,,209-남북격차,fi
100244,['내구소비재'],전문용어 수어,경제,,209-내구소비재,fi
100245,['내구재'],전문용어 수어,경제,,209-내구재,fi
100246,['내국시장'],전문용어 수어,경제,,209-내국시장,fi
100247,['내부감사'],전문용어 수어,경제,,209-내부감사,fi
100248,['내부자거래'],전문용어 수어,경제,,209-내부자거래,fi
100249,['내수산업'],전문용어 수어,경제,,209-내수산업,fi
100250,['내용기간'],전문용어 수어,경제,,209-내용기간,fi
100251,['내용연수'],전문용어 수어,경제,,209-내용연수,fi
100252,['내자'],전문용어 수어,경제,,209-내자,fi
100253,['노동강도'],전문용어 수어,경제,,209-노동강도,fi
100254,['노동강화'],전문용어 수어,경제,,209-노동강화,fi
100255,['노동경제학'],전문용어 수어,경제,,209-노동경제학,fi
100256,['노동능력'],전문용어 수어,경제,,209-노동능력,fi
100257,['노동능률'],전문용어 수어,경제,,209-노동능률,fi
100258,['노동력'],전문용어 수어,경제,,209-노동력,fi
100259,['노동비용'],전문용어 수어,경제,,209-노동비용,fi
100260,['노동생산성'],전문용어 수어,경제,,209-노동생산성,fi
100261,['노동임금'],전문용어 수어,경제,,209-노동임금,fi
100262,['노동집약적산업'],전문용어 수어,경제,,209-노동집약적산업,fi
100263,['노동집약형산업'],전문용어 수어,경제,,209-노동집약형산업,fi
100264,['노무관리'],전문용어 수어,경제,,209-노무관리,fi
100265,['노무비비율'],전문용어 수어,경제,,209-노무비비율,fi
100266,['노임'],전문용어 수어,경제,,209-노임,fi
100267,['노임노동'],전문용어 수어,경제,,209-노임노동,fi
100268,['노하우'],전문용어 수어,경제,,209-노하우,fi
100269,['노하우2'],전문용어 수어,경제,,209-노하우2,fi
100270,['녹색성장'],전문용어 수어,경제,,209-녹색성장,fi
100271,['농경시대'],전문용어 수어,경제,,209-농경시대,fi
100272,['농업통계'],전문용어 수어,경제,,209-농업통계,fi
100273,['농협창고'],전문용어 수어,경제,,209-농협창고,fi
100274,['능률급'],전문용어 수어,경제,,209-능률급,fi
100275,['능률급제'],전문용어 수어,경제,,209-능률급제,fi
100276,['다국적기업'],전문용어 수어,경제,,209-다국적기업,fi
100277,['다단계판매'],전문용어 수어,경제,,209-다단계판매,fi
100278,['다품종소량생산'],전문용어 수어,경제,,209-다품종소량생산,fi
100279,['단기거래'],전문용어 수어,경제,,209-단기거래,fi
100280,['단기금리'],전문용어 수어,경제,,209-단기금리,fi
100281,['단기대부'],전문용어 수어,경제,,209-단기대부,fi
100282,['단기운전자금'],전문용어 수어,경제,,209-단기운전자금,fi
100283,['단기이자율'],전문용어 수어,경제,,209-단기이자율,fi
100284,['단기자금'],전문용어 수어,경제,,209-단기자금,fi
100285,['단기차입금'],전문용어 수어,경제,,209-단기차입금,fi
100286,['단기투자자'],전문용어 수어,경제,,209-단기투자자,fi
100287,['단순평균법'],전문용어 수어,경제,,209-단순평균법,fi
100288,['단식부기'],전문용어 수어,경제,,209-단식부기,fi
100289,['단위당수확고'],전문용어 수어,경제,,209-단위당수확고,fi
100290,['단위원가'],전문용어 수어,경제,,209-단위원가,fi
100291,['단자'],전문용어 수어,경제,,209-단자,fi
100292,['단자시장'],전문용어 수어,경제,,209-단자시장,fi
100293,['달러부족'],전문용어 수어,경제,,209-달러부족,fi
100294,['담보력'],전문용어 수어,경제,,209-담보력,fi
100295,['담보액'],전문용어 수어,경제,,209-담보액,fi
100296,['당기손실'],전문용어 수어,경제,,209-당기손실,fi
100297,['당기손익'],전문용어 수어,경제,,209-당기손익,fi
100298,['당기순이익'],전문용어 수어,경제,,209-당기순이익,fi
100299,['당기이익'],전문용어 수어,경제,,209-당기이익,fi
100300,['당좌'],전문용어 수어,경제,,209-당좌,fi
100301,['당좌예금'],전문용어 수어,경제,,209-당좌예금,fi
100302,['대공황'],전문용어 수어,경제,,209-대공황,fi
100303,['대기업'],전문용어 수어,경제,,209-대기업,fi
100304,['대량생산'],전문용어 수어,경제,,209-대량생산,fi
100305,['대부'],전문용어 수어,경제,,209-대부,fi
100306,['대부이자'],전문용어 수어,경제,,209-대부이자,fi
100307,['대여금고'],전문용어 수어,경제,,209-대여금고,fi
100308,['대외무역'],전문용어 수어,경제,,209-대외무역,fi
100309,['대차대조표'],전문용어 수어,경제,,209-대차대조표,fi
100310,['대체'],전문용어 수어,경제,,209-대체,fi
100311,['대출금리'],전문용어 수어,경제,,209-대출금리,fi
100312,['대출이자'],전문용어 수어,경제,,209-대출이자,fi
100313,['대표이사'],전문용어 수어,경제,,209-대표이사,fi
100314,['대한상공회의소'],전문용어 수어,경제,,209-대한상공회의소,fi
100315,['대한증권거래소'],전문용어 수어,경제,,209-대한증권거래소,fi
100316,['덤핑'],전문용어 수어,경제,,209-덤핑,fi
100317,['도매물가지수'],전문용어 수어,경제,,209-도매물가지수,fi
100318,['도매시세'],전문용어 수어,경제,,209-도매시세,fi
100319,['도매시장'],전문용어 수어,경제,,209-도매시장,fi
100320,['도시경제'],전문용어 수어,경제,,209-도시경제,fi
100321,['독과점가격'],전문용어 수어,경제,,209-독과점가격,fi
100322,['독과점사업'],전문용어 수어,경제,,209-독과점사업,fi
100323,['독립채산'],전문용어 수어,경제,,209-독립채산,fi
100324,['독립채산제'],전문용어 수어,경제,,209-독립채산제,fi
100325,['독립회계'],전문용어 수어,경제,,209-독립회계,fi
100326,['독점'],전문용어 수어,경제,,209-독점,fi
100327,['독점가격'],전문용어 수어,경제,,209-독점가격,fi
100328,['독점기업'],전문용어 수어,경제,,209-독점기업,fi
100329,['독점사업'],전문용어 수어,경제,,209-독점사업,fi
100330,['독점자본'],전문용어 수어,경제,,209-독점자본,fi
100331,['독점자본가'],전문용어 수어,경제,,209-독점자본가,fi
100332,['동결'],전문용어 수어,경제,,209-동결,fi
100333,['디플레이션'],전문용어 수어,경제,,209-디플레이션,fi
100334,['디플레이션2'],전문용어 수어,경제,,209-디플레이션2,fi
100335,['딜러'],전문용어 수어,경제,,209-딜러,fi
100336,['딜러2'],전문용어 수어,경제,,209-딜러2,fi
100337,['라벨'],전문용어 수어,경제,,209-라벨,fi
100338,['라벨2'],전문용어 수어,경제,,209-라벨2,fi
100339,['레저산업'],전문용어 수어,경제,,209-레저산업,fi
100340,['레저산업2'],전문용어 수어,경제,,209-레저산업2,fi
100341,['리베이트'],전문용어 수어,경제,,209-리베이트,fi
100342,['리베이트2'],전문용어 수어,경제,,209-리베이트2,fi
100343,['리베이트3'],전문용어 수어,경제,,209-리베이트3,fi
100344,['리베이트4'],전문용어 수어,경제,,209-리베이트4,fi
100345,['리스'],전문용어 수어,경제,,209-리스,fi
100346,['리스2'],전문용어 수어,경제,,209-리스2,fi
100347,['리스산업'],전문용어 수어,경제,,209-리스산업,fi
100348,['리스산업2'],전문용어 수어,경제,,209-리스산업2,fi
100349,['마이너스성장'],전문용어 수어,경제,,209-마이너스성장,fi
100350,['마진'],전문용어 수어,경제,,209-마진,fi
100351,['마진2'],전문용어 수어,경제,,209-마진2,fi
100352,['마케팅'],전문용어 수어,경제,,209-마케팅,fi
100353,['마케팅2'],전문용어 수어,경제,,209-마케팅2,fi
100354,['마케팅3'],전문용어 수어,경제,,209-마케팅3,fi
100355,['마켓리더'],전문용어 수어,경제,,209-마켓리더,fi
100356,['마켓리더2'],전문용어 수어,경제,,209-마켓리더2,fi
100357,['만기'],전문용어 수어,경제,,209-만기,fi
100358,['만기일'],전문용어 수어,경제,,209-만기일,fi
100359,['매매가격'],전문용어 수어,경제,,209-매매가격,fi
100360,['매매거래정지'],전문용어 수어,경제,,209-매매거래정지,fi
100361,['매수시장'],전문용어 수어,경제,,209-매수시장,fi
100362,['매입'],전문용어 수어,경제,,209-매입,fi
100363,['매입원가'],전문용어 수어,경제,,209-매입원가,fi
100364,['매출'],전문용어 수어,경제,,209-매출,fi
100365,['매출원가'],전문용어 수어,경제,,209-매출원가,fi
100366,['매판자본'],전문용어 수어,경제,,209-매판자본,fi
100367,['명목국민소득'],전문용어 수어,경제,,209-명목국민소득,fi
100368,['명목소득'],전문용어 수어,경제,,209-명목소득,fi
100369,['명목임금'],전문용어 수어,경제,,209-명목임금,fi
100370,['모회사'],전문용어 수어,경제,,209-모회사,fi
100371,['목돈마련저축'],전문용어 수어,경제,,209-목돈마련저축,fi
100372,['무담보대부'],전문용어 수어,경제,,209-무담보대부,fi
100373,['무배당'],전문용어 수어,경제,,209-무배당,fi
100374,['무상증자'],전문용어 수어,경제,,209-무상증자,fi
100375,['무역'],전문용어 수어,경제,,209-무역,fi
100376,['무역계약'],전문용어 수어,경제,,209-무역계약,fi
100377,['무역관리'],전문용어 수어,경제,,209-무역관리,fi
100378,['무역구조'],전문용어 수어,경제,,209-무역구조,fi
100379,['무역마찰'],전문용어 수어,경제,,209-무역마찰,fi
100380,['무역상사'],전문용어 수어,경제,,209-무역상사,fi
100381,['무역상품'],전문용어 수어,경제,,209-무역상품,fi
100382,['무역수지'],전문용어 수어,경제,,209-무역수지,fi
100383,['무역의존도'],전문용어 수어,경제,,209-무역의존도,fi
100384,['무역자유화'],전문용어 수어,경제,,209-무역자유화,fi
100385,['무역정책'],전문용어 수어,경제,,209-무역정책,fi
100386,['무형고정자산'],전문용어 수어,경제,,209-무형고정자산,fi
100387,['무형자본'],전문용어 수어,경제,,209-무형자본,fi
100388,['문화비'],전문용어 수어,경제,,209-문화비,fi
100389,['문화용품'],전문용어 수어,경제,,209-문화용품,fi
100390,['물가동향'],전문용어 수어,경제,,209-물가동향,fi
100391,['물가등귀'],전문용어 수어,경제,,209-물가등귀,fi
100392,['물가수준'],전문용어 수어,경제,,209-물가수준,fi
100393,['물가억제정책'],전문용어 수어,경제,,209-물가억제정책,fi
100394,['물가정책'],전문용어 수어,경제,,209-물가정책,fi
100395,['물가지수'],전문용어 수어,경제,,209-물가지수,fi
100396,['물가파동'],전문용어 수어,경제,,209-물가파동,fi
100397,['물가하락'],전문용어 수어,경제,,209-물가하락,fi
100398,['물류비용'],전문용어 수어,경제,,209-물류비용,fi
100399,['물물교환'],전문용어 수어,경제,,209-물물교환,fi
100400,['미불'],전문용어 수어,경제,,209-미불,fi
100401,['미불금'],전문용어 수어,경제,,209-미불금,fi
100402,['미상장주'],전문용어 수어,경제,,209-미상장주,fi
100403,['미수'],전문용어 수어,경제,,209-미수,fi
100404,['미수금'],전문용어 수어,경제,,209-미수금,fi
100405,['미지급금'],전문용어 수어,경제,,209-미지급금,fi
100406,['미지급비용'],전문용어 수어,경제,,209-미지급비용,fi
100407,['미화'],전문용어 수어,경제,,209-미화,fi
100408,['민간경제'],전문용어 수어,경제,,209-민간경제,fi
100409,['민간기업체'],전문용어 수어,경제,,209-민간기업체,fi
100410,['민간무역'],전문용어 수어,경제,,209-민간무역,fi
100411,['민간예금'],전문용어 수어,경제,,209-민간예금,fi
100412,['민간은행'],전문용어 수어,경제,,209-민간은행,fi
100413,['민간자금'],전문용어 수어,경제,,209-민간자금,fi
100414,['민간투자'],전문용어 수어,경제,,209-민간투자,fi
100415,['민영기업'],전문용어 수어,경제,,209-민영기업,fi
100416,['민족경제'],전문용어 수어,경제,,209-민족경제,fi
100417,['민족자본'],전문용어 수어,경제,,209-민족자본,fi
100418,['민족자본가'],전문용어 수어,경제,,209-민족자본가,fi
100419,['바이어'],전문용어 수어,경제,,209-바이어,fi
100420,['바이어2'],전문용어 수어,경제,,209-바이어2,fi
100421,['바이어3'],전문용어 수어,경제,,209-바이어3,fi
100422,['바터무역'],전문용어 수어,경제,,209-바터무역,fi
100423,['바터무역2'],전문용어 수어,경제,,209-바터무역2,fi
100424,['반덤핑'],전문용어 수어,경제,,209-반덤핑,fi
100425,['반덤핑관세'],전문용어 수어,경제,,209-반덤핑관세,fi
100426,['반등'],전문용어 수어,경제,,209-반등,fi
100427,['반락'],전문용어 수어,경제,,209-반락,fi
100428,['받을어음'],전문용어 수어,경제,,209-받을어음,fi
100429,['발행가'],전문용어 수어,경제,,209-발행가,fi
100430,['발행가격'],전문용어 수어,경제,,209-발행가격,fi
100431,['방문판매'],전문용어 수어,경제,,209-방문판매,fi
100432,['배급'],전문용어 수어,경제,,209-배급,fi
100433,['배급2'],전문용어 수어,경제,,209-배급2,fi
